,title,artist,top genre,year,tempo,energy,dnce,dB,live,val,dur,acous,spch,Pop,,,
,Como Llora,Juanfran,Pop,2020,88.064,0.629,0.827,-3.966,0.084,0.486,187.5,0.183,0.185,7,,,
,Walk Em Down (feat. Roddy Ricch),NLE Choppa,Rap,2020,84.005,0.744,0.867,-5.171,0.0713,0.645,173.288,0.268,0.227,22,,,
,mirrorball,Taylor Swift,Pop,2020,110.107,0.413,0.553,-10.037,0.0594,0.379,208.978,0.687,0.0334,3,,,
,seven,Taylor Swift,Pop,2020,94.926,0.488,0.596,-10.769,0.091,0.415,208.907,0.9,0.0274,3,,,
,this is me trying,Taylor Swift,Pop,2020,135.886,0.476,0.515,-9.843,0.171,0.412,195.097,0.314,0.0328,3,,,
,betty,Taylor Swift,Pop,2020,95.939,0.377,0.593,-8.761,0.0976,0.502,294.521,0.6,0.0253,3,,,
,BLIND (feat. Young Thug),DaBaby,Hip-hop,2020,162.973,0.679,0.709,-6.503,0.0971,0.754,153.467,0.0115,0.346,1,,,
,illicit affairs,Taylor Swift,Pop,2020,119.845,0.31,0.559,-10.445,0.106,0.46,190.898,0.881,0.0338,3,,,
,Freak,Doja Cat,Pop,2020,116.912,0.716,0.688,-5.702,0.0989,0.373,284.48,0.0969,0.0385,1,,,
,PUNANI,6ix9ine,Trap,2020,97.961,0.541,0.841,-7.121,0.123,0.42,115.255,0.0186,0.229,1,,,
,BlÃ¤ulich,Apache 207,Hip-hop,2020,154.007,0.704,0.79,-7.935,0.113,0.212,196.213,0.069,0.417,6,,,
,Never Let Me Down,"VIZE, Tom Gregory","['Pop', 'german dance', 'Pop dance', 'slap house', 'Pop']",2020,127.96,0.848,0.758,-3.84,0.114,0.706,153.149,0.21,0.0457,5,,,
,Savage,Megan Thee Stallion,Pop,2020,168.983,0.741,0.843,-5.609,0.096,0.68,155.497,0.0252,0.334,20,,,
,mad woman,Taylor Swift,Pop,2020,141.916,0.699,0.592,-8.995,0.114,0.506,237.258,0.655,0.0471,2,,,
,epiphany,Taylor Swift,Pop,2020,94.219,0.267,0.354,-13.69,0.0858,0.113,289.749,0.731,0.0281,2,,,
,peace,Taylor Swift,Pop,2020,150.044,0.272,0.647,-12.906,0.0918,0.339,234,0.918,0.0916,2,,,
,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,"['Hip-hop', 'Pop rap', 'rap', 'southern Hip-hop', 'trap', 'underground Hip-hop']",2020,144.018,0.676,0.808,-4.902,0.11,0.0763,144.973,0.0618,0.223,1,,,
,Sie ruft,Apache 207,Hip-hop,2020,130.009,0.507,0.819,-7.336,0.105,0.634,152.013,0.482,0.0881,1,,,
,Tilidin Weg,Bonez MC,Hip-hop,2020,109.075,0.526,0.882,-8.553,0.0835,0.182,180.95,0.118,0.237,1,,,
,Over Your Head,"Future, Lil Uzi Vert",Hip-hop,2020,148.949,0.742,0.773,-5.453,0.558,0.35,186.843,0.00198,0.162,1,,,
,hoax,Taylor Swift,Pop,2020,118.819,0.181,0.662,-15.065,0.133,0.429,220.043,0.966,0.0415,2,,,
,Blood On My Jeans,Juice WRLD,Hip-hop,2020,117.943,0.55,0.868,-6.417,0.109,0.464,154.767,0.183,0.226,4,,,
,Narrow Road (feat. Lil Baby),NLE Choppa,Hip-hop,2020,159.999,0.553,0.614,-8.225,0.203,0.161,240.297,0.0306,0.169,1,,,
,Amarillo,J Balvin,Pop,2020,122.728,0.857,0.641,-5.725,0.0695,0.961,157.733,0.013,0.301,20,,,
,Singapur,"El Alfa, Chael Produciendo","['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']",2020,112.987,0.909,0.853,-2.473,0.129,0.803,178.407,0.0522,0.229,3,,,
,Tattoo,Rauw Alejandro,Trap,2020,96.988,0.637,0.848,-5.132,0.0521,0.698,222.68,0.0413,0.156,24,,,
,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,"['Hip-hop', 'Pop', 'Pop rap', 'r&b', 'southern Hip-hop', 'trap', 'trap soul']",2020,111.052,0.598,0.818,-5.948,0.634,0.331,231.618,0.0573,0.113,5,,,
,Morado,J Balvin,Pop,2020,97.002,0.696,0.881,-3.838,0.0927,0.781,200.667,0.137,0.0797,30,,,
,ocean eyes,Billie Eilish,Pop,2020,144.833,0.372,0.358,-7.664,0.0877,0.16,200.387,0.81,0.0464,22,,,
,Lion King On Ice,J. Cole,Hip-hop,2020,139.964,0.663,0.732,-7.616,0.115,0.227,210.587,0.0819,0.192,1,,,
,Andere Welt,"Capital Bra, Clueso, KC Rebell",Hip-hop,2020,84.029,0.764,0.692,-5.233,0.106,0.564,189.686,0.574,0.113,1,,,
,TELL ME WHY,The Kid LAROI,Hip-hop,2020,149.881,0.723,0.6,-4.928,0.167,0.463,195.268,0.109,0.158,1,,,
,Stay High,Juice WRLD,Hip-hop,2020,76.968,0.5,0.745,-6.184,0.0943,0.433,168.685,0.439,0.135,3,,,
,What Makes You Beautiful,One Direction,Pop,2020,124.99,0.787,0.726,-2.494,0.0596,0.888,199.987,0.009,0.0737,2,,,
,Shit Changed,"Ufo361, Sonus030",Trap,2020,157.005,0.528,0.824,-9.236,0.104,0.32,183.839,0.144,0.175,1,,,
,Tell Me U Luv Me (with Trippie Redd),Juice WRLD,Hip-hop,2020,127.984,0.76,0.66,-5.726,0.632,0.394,180.129,0.291,0.0787,6,,,
,Bad Energy,Juice WRLD,Hip-hop,2020,138.034,0.452,0.654,-6.36,0.114,0.532,186.749,0.17,0.0439,3,,,
,Titanic,Juice WRLD,Hip-hop,2020,174.146,0.545,0.567,-6.668,0.112,0.234,176.65,0.168,0.0448,3,,,
,Skechers,DripReport,Hip-hop,2020,100.008,0.327,0.903,-9.727,0.108,0.274,106,0.26,0.0877,20,,,
,The Bigger Picture,Lil Baby,Hip-hop,2020,96.459,0.618,0.59,-5.756,0.244,0.153,252.729,0.0127,0.334,7,,,
,Story of My Life,One Direction,Pop,2020,121.07,0.663,0.6,-5.802,0.119,0.286,245.493,0.225,0.0477,1,,,
,Hit My Line,Logic,Hip-hop,2020,164.057,0.786,0.62,-5.22,0.46,0.679,265.191,0.143,0.167,1,,,
,Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",Trap,2020,129.995,0.375,0.752,-10.157,0.175,0.591,147.673,0.533,0.204,2,,,
,Up Up And Away,Juice WRLD,Hip-hop,2020,75.059,0.665,0.661,-6.356,0.0981,0.486,147.548,0.538,0.053,2,,,
,Man Of The Year,Juice WRLD,Hip-hop,2020,173.966,0.695,0.621,-5.124,0.086,0.298,136.408,0.00584,0.0911,2,,,
,Fighting Demons,Juice WRLD,Hip-hop,2020,163.099,0.67,0.707,-6.328,0.098,0.235,200.629,0.0813,0.257,2,,,
,Can't Die,Juice WRLD,Hip-hop,2020,84.008,0.671,0.652,-5.89,0.107,0.274,182.922,0.0222,0.0756,2,,,
,Screw Juice,Juice WRLD,Hip-hop,2020,150.075,0.528,0.595,-7.371,0.142,0.515,179.464,0.082,0.0935,2,,,
,Past Life (with Selena Gomez),Trevor Daniel,Pop,2020,159.905,0.543,0.575,-5.062,0.176,0.283,186.48,0.102,0.0529,4,,,
,I Want It,Juice WRLD,Hip-hop,2020,66.424,0.638,0.288,-6.935,0.14,0.147,173.114,0.133,0.0779,2,,,
,Ransom,Lil Tecca,Rap,2020,179.974,0.642,0.745,-6.257,0.0658,0.226,131.24,0.0204,0.287,30,,,
,Diosa,Myke Towers,Trap,2020,104.965,0.745,0.801,-3.733,0.153,0.245,214.013,0.398,0.063,23,,,
,Never Know (feat. SHIRIN DAVID),Luciano,Hip-hop,2020,142.016,0.542,0.874,-7.064,0.181,0.481,196.933,0.0621,0.344,1,,,
,La DifÃ­cil,Bad Bunny,Trap,2020,179.87,0.848,0.685,-4.561,0.0783,0.761,163.084,0.0861,0.0858,21,,,
,TROLLZ (with Nicki Minaj),6ix9ine,Trap,2020,180.006,0.422,0.744,-8.946,0.11,0.493,202.667,0.0319,0.294,6,,,
,The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,Hip-hop,2020,113.018,0.787,0.88,-5.189,0.12,0.588,264.834,0.226,0.118,2,,,
,Hola - Remix,"Dalex, Lenny TavÃ¡rez, Chencho Corleone, Juhn, DÃ­melo Flow",Trap,2020,181.857,0.672,0.654,-5.98,0.0781,0.343,249.52,0.471,0.311,30,,,
,Ignorantes,"Bad Bunny, Sech",Trap,2020,96.029,0.536,0.85,-5.161,0.0996,0.505,210.607,0.267,0.0599,23,,,
,Yummy,Justin Bieber,Pop,2020,145.921,0.514,0.687,-6.612,0.116,0.494,210.427,0.366,0.0897,29,,,
,High Fashion (feat. Mustard),Roddy Ricch,Rap,2020,97.956,0.499,0.831,-8.442,0.3,0.511,220.487,0.269,0.114,28,,,
,Like That (feat. Gucci Mane),Doja Cat,Pop,2020,106.044,0.498,0.879,-6.027,0.0967,0.405,163.173,0.239,0.18,19,,,
,Goodbyes (feat. Young Thug),Post Malone,Trap,2020,150.068,0.653,0.548,-3.875,0.103,0.163,174.853,0.456,0.081,7,,,
,BOP,DaBaby,Hip-hop,2020,126.77,0.787,0.769,-3.909,0.129,0.836,159.715,0.189,0.367,30,,,
,Sigues Con El,"DÃ­melo Flow, Arcangel, Sech",Trap,2020,87.972,0.668,0.883,-2.957,0.0734,0.676,226.533,0.11,0.113,30,,,
,Anxiety - Intro,Juice WRLD,Hip-hop,2020,174.795,0.528,0.307,-11.337,0.222,0.58,70.395,0.972,0.108,1,,,
,Juice WRLD Speaks From Heaven - Outro,Juice WRLD,Hip-hop,2020,121.678,0.373,0.392,-14.097,0.545,0.519,30.583,0.991,0.0968,1,,,
,"The Man, The Myth, The Legend - Interlude",Juice WRLD,Hip-hop,2020,83.534,0.447,0.667,-14.625,0.612,0.829,136.545,0.916,0.761,1,,,
,Tiefschwarz (feat. Samra),Kontra K,Hip-hop,2020,94.003,0.783,0.751,-5.926,0.114,0.379,189.739,0.0715,0.22,1,,,
,Wash Us In The Blood,"Kanye West, Travis Scott",Trap,2020,137.22,0.847,0.67,-4.85,0.304,0.381,189.827,0.184,0.409,3,,,
,Gangstas,Pop Smoke,Pop,2020,119.987,0.506,0.548,-7.434,0.0788,0.557,160,0.203,0.102,2,,,
,Monster,Red Velvet - IRENE & SEULGI,K-Pop,2020,115.665,0.748,0.631,-2.569,0.537,0.351,178.413,0.212,0.0488,1,,,
,YAYA,6ix9ine,Trap,2020,105.043,0.733,0.672,-5.377,0.199,0.354,149.857,0.00289,0.0566,2,,,
,Narcos,Anuel AA,Trap,2020,168.072,0.746,0.614,-3.527,0.0874,0.601,259.25,0.347,0.196,2,,,
,This City,Sam Fischer,Pop,2020,73.877,0.377,0.605,-6.213,0.0808,0.519,194.853,0.733,0.0443,13,,,
,Make It Rain (feat. Rowdy Rebel),Pop Smoke,Pop,2020,159.477,0.767,0.5,-4.105,0.385,0.58,202.443,0.162,0.403,2,,,
,Something Special,Pop Smoke,Pop,2020,91.071,0.616,0.739,-6.963,0.101,0.654,158.466,0.252,0.0338,2,,,
,Aim For The Moon (feat. Quavo),Pop Smoke,Pop,2020,142.025,0.605,0.713,-7.487,0.115,0.432,175.756,0.497,0.107,1,,,
,44 BullDog,Pop Smoke,Pop,2020,139.989,0.564,0.8,-5.817,0.112,0.318,150.857,0.0287,0.4,1,,,
,Creature (feat. Swae Lee),Pop Smoke,Pop,2020,141.881,0.717,0.794,-5.73,0.195,0.372,202.816,0.0511,0.251,1,,,
,Yea Yea,Pop Smoke,Pop,2020,123.906,0.474,0.717,-8.383,0.139,0.448,185.804,0.0509,0.403,1,,,
,Enjoy Yourself (feat. Karol G),Pop Smoke,Pop,2020,97.02,0.676,0.764,-6.761,0.215,0.461,197.938,0.389,0.0927,1,,,
,Bad Bitch From Tokyo (Intro),Pop Smoke,Pop,2020,140.248,0.64,0.645,-6.871,0.286,0.674,48,0.395,0.179,1,,,
,Snitching (feat. Quavo & Future),Pop Smoke,Pop,2020,135.033,0.579,0.944,-4.961,0.253,0.769,259.346,0.0381,0.191,1,,,
,West Coast Shit (feat. Tyga & Quavo),Pop Smoke,Pop,2020,99.999,0.762,0.831,-5.656,0.107,0.495,192,0.0885,0.207,1,,,
,Deep End Freestyle,"Sleepy Hallow, FousheÃ©",Pop,2020,133.928,0.479,0.868,-6.687,0.102,0.776,115.2,0.703,0.445,8,,,
,Tommy Lee (feat. Post Malone),Tyla Yaweh,Trap,2020,85.359,0.621,0.457,-5.923,0.0944,0.634,224.638,0.218,0.138,4,,,
,Tunnel Vision (Outro),Pop Smoke,Pop,2020,142.879,0.66,0.718,-7.39,0.159,0.659,132.587,0.363,0.325,1,,,
,Si Veo a Tu MamÃ¡,Bad Bunny,Trap,2020,129.928,0.603,0.9,-5.313,0.134,0.824,170.972,0.402,0.0646,19,,,
,Prospect (ft. Lil Baby),iann dior,Hip-hop,2020,120.078,0.579,0.816,-6.097,0.127,0.43,226.314,0.203,0.0867,2,,,
,El Manual,Anuel AA,Trap,2020,126.989,0.845,0.843,-2.344,0.0527,0.898,210.624,0.35,0.0503,1,,,
,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",Trap,2020,167.969,0.769,0.771,-3.504,0.345,0.931,289.899,0.18,0.0694,9,,,
,Don't Stop Believin',Journey,Hip-hop,2020,118.852,0.748,0.5,-9.072,0.447,0.514,250.987,0.127,0.0363,2,,,
,BLACK PARADE,BeyoncÃ©,Pop,2020,120.002,0.555,0.824,-5.817,0.217,0.0611,281.273,0.00337,0.05,2,,,
,XXL,"Miksu / Macloud, Summer Cem, Luciano, Jamule",Hip-hop,2020,114.008,0.527,0.798,-7.671,0.108,0.548,166.173,0.227,0.0447,1,,,
,Salt,Ava Max,Pop,2020,128.052,0.835,0.693,-3.242,0.073,0.744,180.283,0.131,0.0624,14,,,
,Daisies,Katy Perry,Pop,2020,122.179,0.546,0.639,-5.382,0.122,0.149,173.124,0.0837,0.0407,7,,,
,Emotionally Scarred,Lil Baby,Hip-hop,2020,88.284,0.641,0.585,-4.269,0.316,0.266,197.53,0.0286,0.133,3,,,
,Myron,Lil Uzi Vert,Trap,2020,155.047,0.654,0.771,-6.976,0.214,0.573,224.955,0.055,0.298,16,,,
,MORE & MORE,TWICE,K-Pop,2020,106.99,0.841,0.739,-4.162,0.173,0.562,199.653,0.0312,0.06,5,,,
,Girls in the Hood,Megan Thee Stallion,Pop,2020,180.013,0.863,0.821,-3.159,0.0377,0.874,154.324,0.00824,0.353,1,,,
,Parasite Eve,Bring Me The Horizon,Hip-hop,2020,102.489,0.797,0.589,-5.464,0.383,0.232,291.813,0.0289,0.15,1,,,
,Sucker,Jonas Brothers,Pop,2020,137.958,0.734,0.842,-5.065,0.106,0.952,181.027,0.0427,0.0588,27,,,
,I Like Me Better,Lauv,Pop,2020,91.97,0.505,0.752,-7.621,0.104,0.419,197.437,0.535,0.253,27,,,
,Money In The Grave (Drake ft. Rick Ross),Drake,Rap,2020,100.541,0.502,0.831,-4.045,0.122,0.101,205.427,0.101,0.046,27,,,
,Say So (feat. Nicki Minaj),Doja Cat,Pop,2020,111.004,0.641,0.856,-4.64,0.427,0.745,206.221,0.119,0.204,9,,,
,Karaoke,"Boomdabash, Alessandra Amoroso",Pop,2020,122.03,0.625,0.929,-5.728,0.386,0.578,156.493,0.289,0.14,1,,,
,Know Your Worth,"Khalid, Disclosure",Pop,2020,103.007,0.694,0.79,-7.726,0.281,0.508,181.436,0.145,0.0708,21,,,
,No Idea,Don Toliver,Rap,2020,127.998,0.631,0.652,-5.718,0.165,0.35,154.424,0.524,0.0893,27,,,
,Airwaves,Pashanim,Hip-hop,2020,131.999,0.578,0.885,-7.416,0.102,0.388,178.933,0.0739,0.0783,7,,,
,Kill This Love,BLACKPINK,K-Pop,2020,131.875,0.835,0.763,-5.234,0.225,0.645,191.05,0.323,0.191,1,,,
,Lose You To Love Me,Selena Gomez,Pop,2020,102.819,0.343,0.488,-8.985,0.21,0.0978,206.459,0.556,0.0436,27,,,
,PA' ROMPERLA,"Bad Bunny, Don Omar",Trap,2020,94.011,0.83,0.772,-5.019,0.0843,0.697,194.2,0.016,0.0599,8,,,
,VACATION,Tyga,Pop,2020,110.973,0.61,0.821,-6.22,0.185,0.47,192.936,0.0247,0.0959,1,,,
,Big Body Benz,Bonez MC,Hip-hop,2020,94.024,0.451,0.884,-8.969,0.268,0.311,148.284,0.0731,0.393,1,,,
,Ich weiÃŸ nicht mal wie sie heiÃŸt,"Capital Bra, Bozza",Hip-hop,2020,199.846,0.836,0.498,-3.905,0.0994,0.609,168.75,0.525,0.184,1,,,
,FÃºtbol & Rumba (feat. Enrique Iglesias),Anuel AA,Trap,2020,167.994,0.916,0.735,-2.082,0.0918,0.691,221.429,0.397,0.117,4,,,
,Bleed,A Boogie Wit da Hoodie,Pop,2020,71.446,0.572,0.698,-7.735,0.154,0.391,176.959,0.135,0.198,1,,,
,Snow On Tha Bluff,J. Cole,Hip-hop,2020,75.857,0.512,0.586,-8.819,0.119,0.235,235.48,0.723,0.0668,1,,,
,Djomb - Bien ou quoi,Bosh,Pop,2020,123.109,0.676,0.945,-6.6,0.322,0.631,141.893,0.172,0.207,2,,,
,In Your Eyes (feat. Alida),"Alida, Robin Schulz",Pop,2020,120.018,0.672,0.57,-5.888,0.0768,0.461,208.222,0.172,0.0716,15,,,
,Stupid Love,Lady Gaga,Pop,2020,117.987,0.825,0.68,-4.296,0.27,0.784,193.533,0.00173,0.0702,14,,,
,Shotta Flow 5,NLE Choppa,Hip-hop,2020,140.032,0.749,0.806,-5.268,0.0621,0.77,145.167,0.0838,0.328,2,,,
,IDK You Yet,Alexander 23,Hip-hop,2020,76.997,0.308,0.648,-11.729,0.124,0.198,184.638,0.886,0.04,5,,,
,Na Raba Toma TapÃ£o,Niack,Pop,2020,130.003,0.787,0.962,1.509,0.176,0.968,165.231,0.666,0.0554,4,,,
,La Santa,"Bad Bunny, Daddy Yankee",Trap,2020,93.037,0.868,0.744,-4.524,0.0822,0.586,206.42,0.0326,0.047,17,,,
,Make You Mine,PUBLIC,Hip-hop,2020,103.014,0.799,0.606,-4.452,0.15,0.638,232.907,0.0128,0.0261,15,,,
,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby,Hip-hop,2020,89.901,0.689,0.747,-7.246,0.0884,0.75,204.547,0.197,0.242,1,,,
,Make It Rain,"Pop Smoke, Rowdy Rebel",Pop,2020,159.494,0.77,0.54,-3.981,0.372,0.565,204,0.194,0.389,1,,,
,M' Manc (con Geolier & Sfera Ebbasta),Shablo,Hip-hop,2020,139.933,0.704,0.703,-6.117,0.41,0.725,180,0.048,0.0641,1,,,
,Emotions 2.0,"Ufo361, CÃ‰LINE",Trap,2020,98.543,0.491,0.788,-9.884,0.107,0.271,146.028,0.386,0.109,1,,,
,P2,Lil Uzi Vert,Trap,2020,155.086,0.72,0.775,-5.353,0.114,0.49,234.627,0.0236,0.193,15,,,
,Selfish,Madison Beer,Pop,2020,75.217,0.461,0.375,-6.202,0.386,0.233,223.27,0.627,0.0279,11,,,
,Surrender,Natalie Taylor,Pop,2020,144.89,0.448,0.39,-8.57,0.107,0.077,183.103,0.8,0.0276,6,,,
,Turks (with Gunna & ft. Travis Scott),NAV,Hip-hop,2020,119.1,0.618,0.894,-4.356,0.558,0.379,161.32,0.0808,0.129,6,,,
,BYE ME FUI,Bad Bunny,Trap,2020,179.788,0.599,0.712,-6.342,0.103,0.588,178,0.412,0.112,6,,,
,Vete,Bad Bunny,Trap,2020,91.976,0.672,0.886,-4.394,0.101,0.526,192.024,0.0363,0.188,25,,,
,Like It Is,"Kygo, Zara Larsson, Tyga",Pop,2020,105.024,0.728,0.794,-6.759,0.227,0.36,183.067,0.121,0.114,12,,,
,My Oh My (feat. DaBaby),Camila Cabello,Pop,2020,105.046,0.491,0.724,-6.024,0.0887,0.383,170.746,0.018,0.0296,24,,,
,Let Me Down Slowly,Alec Benjamin,Pop,2020,150.073,0.557,0.652,-5.714,0.124,0.483,169.354,0.74,0.0318,19,,,
,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",Pop,2020,158.373,0.7,0.43,-5.35,0.216,0.731,183.219,0.0902,0.264,12,,,
,Boot,Apache 207,Hip-hop,2020,194.034,0.565,0.534,-7.546,0.112,0.529,193.36,0.0627,0.307,1,,,
,Riot,XXXTENTACION,Rap,2020,97.767,0.542,0.509,-8.027,0.23,0.151,78.681,0.019,0.442,1,,,
,VALLA NEIN (feat. Luciano),"KC Rebell, Summer Cem",Hip-hop,2020,135.909,0.657,0.761,-7.246,0.356,0.589,182.04,0.114,0.138,1,,,
,Iâ€™m Ready (with Demi Lovato),Sam Smith,Pop,2020,155.051,0.674,0.501,-6.363,0.282,0.152,200.838,0.00346,0.0408,8,,,
,This Is America,Childish Gambino,Hip-hop,2020,120.024,0.463,0.854,-6.159,0.354,0.549,225.773,0.117,0.137,2,,,
,Fantasias,"Rauw Alejandro, Farruko",Trap,2020,94.004,0.703,0.879,-4.219,0.0569,0.788,199.711,0.143,0.0701,24,,,
,BAD CON NICKY,"Bad Bunny, Nicky Jam",Trap,2020,93.094,0.729,0.59,-4.95,0.659,0.712,202.24,0.321,0.0893,5,,,
,If I Can't Have You,Shawn Mendes,Pop,2020,123.911,0.809,0.692,-4.198,0.147,0.864,190.8,0.524,0.0602,17,,,
,What A Man Gotta Do,Jonas Brothers,Pop,2020,113.039,0.698,0.852,-7.206,0.0773,0.324,180.645,0.00839,0.0629,21,,,
,Solitaires (feat. Travis Scott),Future,Hip-hop,2020,169.982,0.632,0.691,-7.598,0.0646,0.488,205.666,0.122,0.0513,4,,,
,XO Tour Llif3,Lil Uzi Vert,Trap,2020,155.096,0.75,0.732,-6.366,0.109,0.401,182.707,0.00264,0.231,10,,,
,changes,XXXTENTACION,Rap,2020,64.934,0.308,0.669,-10.068,0.0984,0.52,121.887,0.883,0.029,5,,,
,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,Trap,2020,139.957,0.441,0.655,-5.245,0.099,0.273,225.857,0.474,0.0629,11,,,
,Level of Concern,Twenty One Pilots,Rock,2020,122.012,0.583,0.754,-7.34,0.144,0.77,220.051,0.32,0.0432,9,,,
,Alice,Lady Gaga,Pop,2020,123.036,0.88,0.723,-4.287,0.0632,0.323,177.6,0.00334,0.038,1,,,
,Free Woman,Lady Gaga,Pop,2020,119.006,0.927,0.731,-3.634,0.187,0.478,191.467,0.0228,0.0781,1,,,
,Fun Tonight,Lady Gaga,Pop,2020,117.945,0.923,0.645,-4.262,0.14,0.323,173.427,0.364,0.0725,1,,,
,Sine From Above (with Elton John),Lady Gaga,Pop,2020,122.965,0.792,0.642,-5.746,0.68,0.0903,244.88,0.158,0.0488,1,,,
,Enigma,Lady Gaga,Pop,2020,116.001,0.804,0.669,-4.035,0.694,0.184,179.76,0.0306,0.036,1,,,
,Replay,Lady Gaga,Pop,2020,122.015,0.878,0.658,-3.875,0.944,0.683,186.653,0.00792,0.123,1,,,
,Plastic Doll,Lady Gaga,Pop,2020,121.028,0.853,0.743,-4.842,0.0872,0.422,221.667,0.0019,0.04,1,,,
,Chromatica II,Lady Gaga,Pop,2020,75.824,0.297,0.184,-14.534,0.527,0.113,41.867,0.473,0.0359,1,,,
,Babylon,Lady Gaga,Pop,2020,115.957,0.799,0.698,-4.372,0.215,0.351,161.733,0.0129,0.0342,1,,,
,Chromatica I,Lady Gaga,Pop,2020,75.824,0.297,0.184,-14.534,0.527,0.113,41.867,0.473,0.0359,1,,,
,1000 Doves,Lady Gaga,Pop,2020,122.973,0.826,0.668,-4.466,0.474,0.388,215.48,0.0236,0.0383,1,,,
,Broken Glass,"Kygo, Kim Petras",Pop,2020,171.044,0.633,0.526,-7.002,0.129,0.272,203.947,0.372,0.134,1,,,
,FLY,"KC Rebell, Summer Cem",Hip-hop,2020,100.706,0.596,0.835,-6.637,0.164,0.897,174.893,0.137,0.297,1,,,
,SKRR,"KALIM, Ufo361",Hip-hop,2020,125.038,0.649,0.803,-6.599,0.152,0.584,119.04,0.163,0.132,1,,,
,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",Lil Yachty,Trap,2020,124.603,0.632,0.784,-6.083,0.605,0.746,232.839,0.156,0.347,1,,,
,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,Trap,2020,138.066,0.617,0.836,-4.363,0.319,0.866,206.702,0.17,0.0534,1,,,
,Roadrunner,Bonez MC,Hip-hop,2020,99.024,0.606,0.804,-9.045,0.111,0.247,149.028,0.137,0.242,2,,,
,Freedom,"Kygo, Zak Abel",Pop,2020,112.887,0.635,0.715,-6.591,0.0862,0.39,198.635,0.127,0.0791,2,,,
,Fame,Apache 207,Hip-hop,2020,129.967,0.645,0.811,-8.008,0.103,0.474,173.761,0.184,0.104,4,,,
,Daechwita,Agust D,K-Pop,2020,144.995,0.827,0.65,-4.014,0.121,0.223,225.668,0.0229,0.0599,1,,,
,COOLER THAN A BITCH (feat. Roddy Ricch),Gunna,Hip-hop,2020,117.066,0.586,0.837,-8.521,0.134,0.618,197,0.281,0.0807,1,,,
,In Your Eyes (with Doja Cat) - Remix,The Weeknd,Pop,2020,99.984,0.731,0.679,-5.522,0.0614,0.727,237.912,0.00518,0.0319,1,,,
,WUNNA,Gunna,Hip-hop,2020,148.009,0.455,0.89,-9,0.11,0.313,158.24,0.0217,0.255,1,,,
,Komm Komm,Capital Bra,Hip-hop,2020,87.629,0.793,0.485,-3.836,0.146,0.371,160.667,0.251,0.426,1,,,
,TOP FLOOR (feat. Travis Scott),Gunna,Hip-hop,2020,112.985,0.504,0.823,-8.65,0.417,0.481,169.907,0.206,0.16,1,,,
,Goodbyes (Feat. Young Thug),Post Malone,Trap,2020,150.068,0.653,0.548,-3.875,0.103,0.163,174.853,0.456,0.081,22,,,
,CANCIÃ“N CON YANDEL,"Yandel, Bad Bunny",Trap,2020,79.968,0.741,0.75,-4.43,0.121,0.495,209.18,0.447,0.402,3,,,
,X (with KAROL G),Jonas Brothers,Pop,2020,117.977,0.827,0.715,-5.09,0.321,0.75,185.277,0.0485,0.0617,2,,,
,MÃS DE UNA CITA,"Bad Bunny, Zion & Lennox",Trap,2020,92.976,0.5,0.865,-10.805,0.098,0.317,183.52,0.0122,0.0861,3,,,
,Together,Sia,Pop,2020,180.007,0.877,0.521,-5.444,0.0929,0.199,205.208,0.0132,0.0683,1,,,
,eight(Prod.&Feat. SUGA of BTS),IU,K-Pop,2020,120.029,0.869,0.676,-1.573,0.132,0.594,167.573,0.115,0.0423,4,,,
,You should be sad,Halsey,Pop,2020,110.94,0.585,0.591,-6.35,0.109,0.324,205.473,0.143,0.0277,20,,,
,CITY OF ANGELS,24kGoldn,Trap,2020,120.082,0.541,0.686,-4.993,0.0675,0.724,112.493,0.042,0.0493,14,,,
,Astronomia,"Vicetone, Tony Igy",Trap,2020,126.093,0.945,0.653,-2.634,0.439,0.326,198.095,0.00561,0.096,8,,,
,After Hours,The Weeknd,Pop,2020,108.959,0.572,0.664,-6.099,0.121,0.143,361.027,0.0811,0.0305,15,,,
,BUTTERFLY EFFECT,Travis Scott,Rap,2020,140.958,0.628,0.763,-5.85,0.114,0.193,190.557,0.0531,0.05,5,,,
,Never Seen the Rain,Tones And I,Pop,2020,92.107,0.464,0.742,-5.624,0.284,0.281,200.742,0.425,0.0318,22,,,
,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Trap,2020,175.994,0.693,0.747,-2.97,0.0872,0.736,189.567,0.102,0.298,7,,,
,ANGELS & DEMONS,jxdn,Pop,2020,115.056,0.8,0.554,-3.936,0.629,0.463,160.12,0.119,0.0395,1,,,
